Time,Sex,AgeGrpStart,mx
1990,Male,0,0.0721044
1990,Male,1,0.01065404
1990,Male,5,0.00282956
1990,Male,10,0.00192161
1990,Male,15,0.00273354
1990,Male,20,0.00408101
1990,Male,25,0.00489024
1990,Male,30,0.00592533
1990,Male,35,0.00747205
1990,Male,40,0.00936523
1990,Male,45,0.01193168
1990,Male,50,0.01584769
1990,Male,55,0.02093917
1990,Male,60,0.0301005
1990,Male,65,0.04274873
1990,Male,70,0.06153014
1990,Male,75,0.08988393
1990,Male,80,0.13384614
1990,Male,85,0.19983915
1990,Male,90,0.28229192
1990,Male,95,0.38419482
1990,Male,100,0.49952545
2000,Male,0,0.07026235
2000,Male,1,0.01024421
2000,Male,5,0.0028538
2000,Male,10,0.00208802
2000,Male,15,0.00324335
2000,Male,20,0.00529481
2000,Male,25,0.00711559
2000,Male,30,0.00925052
2000,Male,35,0.01197778
2000,Male,40,0.01470178
2000,Male,45,0.01793306
2000,Male,50,0.02237439
2000,Male,55,0.02784246
2000,Male,60,0.03803149
2000,Male,65,0.05009794
2000,Male,70,0.0647613
2000,Male,75,0.08666232
2000,Male,80,0.12468257
2000,Male,85,0.18885852
2000,Male,90,0.27050372
2000,Male,95,0.37205279
2000,Male,100,0.48825741
2010,Male,0,0.04443
2010,Male,1,0.0045805
2010,Male,5,0.00142511
2010,Male,10,0.00118274
2010,Male,15,0.00215707
2010,Male,20,0.00364606
2010,Male,25,0.00510506
2010,Male,30,0.00694263
2010,Male,35,0.00940002
2010,Male,40,0.01206974
2010,Male,45,0.01537646
2010,Male,50,0.01973113
2010,Male,55,0.02516422
2010,Male,60,0.03460586
2010,Male,65,0.04550985
2010,Male,70,0.05863454
2010,Male,75,0.07920956
2010,Male,80,0.11606946
2010,Male,85,0.1784131
2010,Male,90,0.25915265
2010,Male,95,0.36023916
2010,Male,100,0.47721308
2020,Male,0,0.03386742
2020,Male,1,0.00285364
2020,Male,5,0.00097353
2020,Male,10,0.00089111
2020,Male,15,0.00184064
2020,Male,20,0.00320707
2020,Male,25,0.00463878
2020,Male,30,0.00650331
2020,Male,35,0.0090414
2020,Male,40,0.01189114
2020,Male,45,0.0154852
2020,Male,50,0.02008267
2020,Male,55,0.02587597
2020,Male,60,0.03602135
2020,Male,65,0.04716178
2020,Male,70,0.05828916
2020,Male,75,0.07461847
2020,Male,80,0.10946057
2020,Male,85,0.17663156
2020,Male,90,0.25723947
2020,Male,95,0.35774272
2020,Male,100,0.47496913
1990,Female,0,0.06501887
1990,Female,1,0.00908511
1990,Female,5,0.00241862
1990,Female,10,0.00171221
1990,Female,15,0.00234092
1990,Female,20,0.00323108
1990,Female,25,0.00407927
1990,Female,30,0.0049329
1990,Female,35,0.00601794
1990,Female,40,0.00726001
1990,Female,45,0.00883784
1990,Female,50,0.01168622
1990,Female,55,0.01570833
